51214	43
#These are the temperatures
0.50	0.75	1.00	1.25	1.50	1.75	2.00	2.25	2.50	2.75	3.00	3.25	3.50	3.75	4.00	4.25	4.50	4.75	5.00	5.25	5.50	5.75
#These are the predicted intensities.
# columns are wavelength, lower index, upper index, label, values at each temperature
# wavelength is not used in code...is only here for humans.
7065	4	7	Ca B	-23.6196	-23.7590	-23.8987	-24.0383	-24.1771	-24.3150	-24.4517	-24.5874	-24.7223	-24.8568	-24.9913	-25.1263	-25.2623	-25.4002	-25.5409	-25.6850	-25.8330	-25.9439	-25.6037	-25.1784	-25.0519	-25.1375
5876	4	10	Ca B	-22.0413	-22.1930	-22.3481	-22.5070	-22.6705	-22.8394	-23.0145	-23.1971	-23.3882	-23.5891	-23.8011	-24.0255	-24.2635	-24.5160	-24.7837	-25.0664	-25.3619	-25.0776	-23.9620	-23.4245	-23.2809	-23.3626
4713	4	13	Ca B	-24.3552	-24.4941	-24.6333	-24.7722	-24.9104	-25.0472	-25.1825	-25.3161	-25.4479	-25.5776	-25.7049	-25.8294	-25.9510	-26.0709	-26.1910	-26.3139	-26.4414	-26.5453	-26.2918	-25.9073	-25.7888	-25.8763
4471	4	16	Ca B	-22.9055	-23.0463	-23.1880	-23.3303	-23.4731	-23.6166	-23.7615	-23.9091	-24.0611	-24.2200	-24.3884	-24.5692	-24.7655	-24.9801	-25.2149	-25.4710	-25.7476	-25.8338	-24.9917	-24.4673	-24.3250	-24.4070
4121	4	21	Ca B	-24.8086	-24.9474	-25.0865	-25.2253	-25.3632	-25.4997	-25.6343	-25.7667	-25.8965	-26.0231	-26.1456	-26.2638	-26.3783	-26.4914	-26.6060	-26.7248	-26.8488	-26.9522	-26.7249	-26.3550	-26.2397	-26.3280
4026	4	24	Ca B	-23.3318	-23.4720	-23.6126	-23.7533	-23.8938	-24.0341	-24.1743	-24.3156	-24.4593	-24.6079	-24.7640	-24.9313	-25.1136	-25.3146	-25.5372	-25.7830	-26.0516	-26.1803	-25.4222	-24.9040	-24.7624	-24.8446
7281	6	8	Ca B	-24.1259	-24.2653	-24.4050	-24.5445	-24.6832	-24.8208	-24.9571	-25.0921	-25.2263	-25.3603	-25.4949	-25.6312	-25.7702	-25.9130	-26.0607	-26.2132	-26.3697	-26.4840	-26.1213	-25.6871	-25.5590	-25.6443
6678	6	11	Ca B	-22.5761	-22.7278	-22.8830	-23.0420	-23.2057	-23.3747	-23.5502	-23.7331	-23.9247	-24.1262	-24.3391	-24.5647	-24.8044	-25.0593	-25.3301	-25.6172	-25.9181	-25.6187	-24.4962	-23.9585	-23.8148	-23.8965
5048	6	14	Ca B	-24.7268	-24.8660	-25.0055	-25.1446	-25.2830	-25.4200	-25.5555	-25.6895	-25.8220	-25.9534	-26.0843	-26.2151	-26.3469	-26.4807	-26.6174	-26.7577	-26.9008	-27.0093	-26.6978	-26.2852	-26.1613	-26.2475
4922	6	17	Ca B	-23.4622	-23.6031	-23.7449	-23.8872	-24.0301	-24.1737	-24.3189	-24.4667	-24.6192	-24.7786	-24.9479	-25.1300	-25.3281	-25.5450	-25.7832	-26.0438	-26.3261	-26.4076	-25.5488	-25.0231	-24.8806	-24.9626
4438	6	22	Ca B	-25.1283	-25.2675	-25.4069	-25.5460	-25.6842	-25.8211	-25.9563	-26.0897	-26.2214	-26.3515	-26.4803	-26.6085	-26.7370	-26.8670	-26.9995	-27.1349	-27.2726	-27.3781	-27.0857	-26.6825	-26.5604	-26.6470
4388	6	25	Ca B	-23.8992	-24.0394	-24.1801	-24.3210	-24.4616	-24.6019	-24.7423	-24.8838	-25.0278	-25.1767	-25.3336	-25.5020	-25.6859	-25.8891	-26.1148	-26.3648	-26.6387	-26.7650	-25.9897	-25.4698	-25.3280	-25.4102
12531	7	15	Ca B	-24.7782	-24.9179	-25.0579	-25.1976	-25.3367	-25.4746	-25.6113	-25.7468	-25.8818	-26.0169	-26.1532	-26.2922	-26.4360	-26.5871	-26.7487	-26.9237	-27.1148	-27.2623	-26.8139	-26.3453	-26.2107	-26.2945
9464	7	23	Ca B	-24.8760	-25.0156	-25.1555	-25.2952	-25.4340	-25.5717	-25.7079	-25.8427	-25.9765	-26.1100	-26.2444	-26.3813	-26.5231	-26.6722	-26.8311	-27.0031	-27.1914	-27.3400	-26.9080	-26.4432	-26.3091	-26.3930
15080	8	20	Ca B	-25.1044	-25.2442	-25.3844	-25.5244	-25.6638	-25.8022	-25.9395	-26.0759	-26.2122	-26.3496	-26.4896	-26.6344	-26.7870	-26.9507	-27.1289	-27.3244	-27.5387	-27.6912	-27.1591	-26.6715	-26.5341	-26.6173
21120	9	13	Ca B	-25.1715	-25.3104	-25.4496	-25.5885	-25.7267	-25.8635	-25.9988	-26.1324	-26.2642	-26.3939	-26.5212	-26.6457	-26.7673	-26.8872	-27.0073	-27.1302	-27.2577	-27.3616	-27.1081	-26.7236	-26.6051	-26.6926
17000	9	16	Ca B	-24.0559	-24.1968	-24.3385	-24.4808	-24.6236	-24.7671	-24.9120	-25.0596	-25.2116	-25.3705	-25.5388	-25.7197	-25.9160	-26.1306	-26.3654	-26.6215	-26.8981	-26.9843	-26.1422	-25.6178	-25.4755	-25.5575
11970	9	24	Ca B	-24.3281	-24.4683	-24.6089	-24.7496	-24.8902	-25.0304	-25.1707	-25.3119	-25.4556	-25.6042	-25.7603	-25.9276	-26.1099	-26.3109	-26.5335	-26.7793	-27.0479	-27.1766	-26.4185	-25.9003	-25.7587	-25.8409
19540	10	15	Ca B	-25.0125	-25.1521	-25.2921	-25.4319	-25.5710	-25.7089	-25.8455	-25.9811	-26.1161	-26.2512	-26.3875	-26.5265	-26.6702	-26.8214	-26.9829	-27.1579	-27.3491	-27.4965	-27.0482	-26.5795	-26.4449	-26.5287
18690	10	18	Ca B	-22.6522	-22.8067	-22.9655	-23.1293	-23.2992	-23.4763	-23.6623	-23.8586	-24.0669	-24.2887	-24.5258	-24.7794	-25.0507	-25.3402	-25.6474	-25.9710	-26.3036	-25.7219	-24.5360	-23.9964	-23.8525	-23.9341
12780	10	26	Ca B	-23.4459	-23.5880	-23.7315	-23.8765	-24.0232	-24.1725	-24.3260	-24.4857	-24.6544	-24.8354	-25.0321	-25.2475	-25.4845	-25.7446	-26.0280	-26.3333	-26.6566	-26.5688	-25.5267	-24.9915	-24.8480	-24.9298
18700	11	19	Ca B	-23.1295	-23.2841	-23.4429	-23.6067	-23.7765	-23.9537	-24.1397	-24.3360	-24.5443	-24.7661	-25.0031	-25.2567	-25.5280	-25.8175	-26.1247	-26.4483	-26.7808	-26.1992	-25.0134	-24.4738	-24.3299	-24.4115
12790	11	27	Ca B	-23.9230	-24.0652	-24.2087	-24.3536	-24.5003	-24.6496	-24.8031	-24.9628	-25.1316	-25.3126	-25.5092	-25.7247	-25.9616	-26.2217	-26.5051	-26.8104	-27.1337	-27.0459	-26.0038	-25.4686	-25.3251	-25.4069
19090	12	17	Ca B	-24.4966	-24.6376	-24.7793	-24.9217	-25.0646	-25.2082	-25.3533	-25.5012	-25.6537	-25.8131	-25.9823	-26.1644	-26.3625	-26.5795	-26.8177	-27.0782	-27.3606	-27.4421	-26.5833	-26.0575	-25.9151	-25.9971
12970	12	25	Ca B	-24.7970	-24.9372	-25.0779	-25.2188	-25.3594	-25.4997	-25.6401	-25.7816	-25.9256	-26.0745	-26.2314	-26.3998	-26.5837	-26.7869	-27.0126	-27.2625	-27.5365	-27.6627	-26.8875	-26.3676	-26.2258	-26.3080
