!MOLECULE
 CN v=0 from constants of Klisch et al. 1995
!MOLECULAR WEIGHT
26.0
!NUMBER OF ENERGY LEVELS
41
!LEVEL + ENERGIES(cm^-1) + WEIGHT + QNUM(N_J)
    1      0.00000000      2.0      0_0.5
    2      3.77490058      2.0      1_0.5
    3      3.78578305      4.0      1_1.5
    4     11.33543032      4.0      2_1.5
    5     11.35356777      6.0      2_2.5
    6     22.67765397      6.0      3_2.5
    7     22.70304639      8.0      3_3.5
    8     37.80110987      8.0      4_3.5
    9     37.83375728     10.0      4_4.5
   10     56.70518250     10.0      5_4.5
   11     56.74508489     12.0      5_5.5
   12     79.38910244     12.0      6_5.5
   13     79.43625980     14.0      6_6.5
   14    105.85194638     14.0      7_6.5
   15    105.90635873     16.0      7_7.5
   16    136.09263716     16.0      8_7.5
   17    136.15430448     18.0      8_8.5
   18    170.10994369     18.0      9_8.5
   19    170.17886599     20.0      9_9.5
   20    207.90248103     20.0     10_9.5
   21    207.97865831     22.0     10_10.5
   22    249.46871035     22.0     11_10.5
   23    249.55214261     24.0     11_11.5
   24    294.80693893     24.0     12_11.5
   25    294.89762617     26.0     12_12.5
   26    343.91532018     26.0     13_12.5
   27    344.01326240     28.0     13_13.5
   28    396.79185361     28.0     14_13.5
   29    396.89705081     30.0     14_14.5
   30    453.43438485     30.0     15_14.5
   31    453.54683703     32.0     15_15.5
   32    513.84060566     32.0     16_15.5
    2    3    1  8.54E-12  6.58E-12  5.70E-12  5.27E-12  4.92E-12  4.82E-12  4.89E-12  4.96E-12  5.05E-12  5.11E-12  5.17E-12  5.22E-12
    3    3    2  5.49E-12  6.91E-12  8.03E-12  9.10E-12  1.12E-11  1.48E-11  1.84E-11  2.11E-11  2.47E-11  2.70E-11  2.86E-11  2.99E-11
    4    4    1  1.17E-11  1.25E-11  1.33E-11  1.40E-11  1.56E-11  1.85E-11  2.14E-11  2.36E-11  2.66E-11  2.85E-11  2.99E-11  3.10E-11
    5    4    2  5.33E-12  5.66E-12  5.45E-12  5.26E-12  5.07E-12  4.99E-12  5.03E-12  5.07E-12  5.13E-12  5.18E-12  5.23E-12  5.27E-12
    6    4    3  2.07E-12  2.10E-12  2.09E-12  2.13E-12  2.34E-12  2.96E-12  3.77E-12  4.48E-12  5.56E-12  6.30E-12  6.81E-12  7.19E-12
    7    5    1  1.16E-11  1.25E-11  1.32E-11  1.40E-11  1.56E-11  1.85E-11  2.14E-11  2.36E-11  2.66E-11  2.85E-11  2.99E-11  3.10E-11
    8    5    2  5.31E-13  5.29E-13  5.51E-13  5.98E-13  7.38E-13  1.09E-12  1.54E-12  1.93E-12  2.52E-12  2.92E-12  3.20E-12  3.41E-12
    9    5    3  6.81E-12  7.21E-12  6.98E-12  6.79E-12  6.67E-12  6.86E-12  7.26E-12  7.63E-12  8.18E-12  8.55E-12  8.83E-12  9.06E-12
   10    5    4  1.65E-12  2.24E-12  2.79E-12  3.34E-12  4.45E-12  6.67E-12  9.30E-12  1.16E-11  1.54E-11  1.83E-11  2.05E-11  2.22E-11
   11    6    1  5.78E-13  6.60E-13  7.32E-13  8.08E-13  9.78E-13  1.35E-12  1.79E-12  2.16E-12  2.72E-12  3.10E-12  3.36E-12  3.54E-12
   12    6    2  1.65E-11  1.68E-11  1.72E-11  1.77E-11  1.89E-11  2.12E-11  2.36E-11  2.54E-11  2.80E-11  2.96E-11  3.08E-11  3.17E-11
   13    6    3  5.61E-12  5.85E-12  6.14E-12  6.51E-12  7.37E-12  9.28E-12  1.16E-11  1.37E-11  1.72E-11  1.98E-11  2.18E-11  2.33E-11
   14    6    4  5.96E-12  6.81E-12  6.94E-12  6.93E-12  6.92E-12  7.12E-12  7.49E-12  7.82E-12  8.33E-12  8.68E-12  8.95E-12  9.16E-12
   15    6    5  6.73E-13  8.15E-13  8.70E-13  9.19E-13  1.05E-12  1.43E-12  2.05E-12  2.71E-12  3.98E-12  5.07E-12  5.96E-12  6.69E-12
   16    7    1  5.81E-13  6.61E-13  7.32E-13  8.09E-13  9.78E-13  1.35E-12  1.79E-12  2.16E-12  2.72E-12  3.10E-12  3.36E-12  3.54E-12
   17    7    2  5.28E-13  6.11E-13  7.19E-13  8.50E-13  1.16E-12  1.88E-12  2.85E-12  3.77E-12  5.36E-12  6.59E-12  7.56E-12  8.33E-12
   18    7    3  2.16E-11  2.21E-11  2.27E-11  2.34E-11  2.51E-11  2.86E-11  3.24E-11  3.54E-11  3.98E-11  4.28E-11  4.50E-11  4.68E-11
   19    7    4  1.73E-13  2.30E-13  2.63E-13  2.97E-13  3.88E-13  6.49E-13  1.06E-12  1.50E-12  2.37E-12  3.11E-12  3.73E-12  4.23E-12
   20    7    5  6.48E-12  7.39E-12  7.53E-12  7.53E-12  7.57E-12  7.91E-12  8.48E-12  9.02E-12  9.94E-12  1.06E-11  1.12E-11  1.16E-11
   21    7    6  7.49E-13  1.05E-12  1.32E-12  1.58E-12  2.13E-12  3.25E-12  4.68E-12  6.07E-12  8.63E-12  1.08E-11  1.27E-11  1.43E-11
   22    8    1  1.09E-12  1.19E-12  1.31E-12  1.45E-12  1.77E-12  2.51E-12  3.47E-12  4.38E-12  5.91E-12  7.09E-12  8.00E-12  8.73E-12
   23    8    2  8.80E-13  9.42E-13  1.01E-12  1.08E-12  1.24E-12  1.59E-12  2.01E-12  2.36E-12  2.89E-12  3.24E-12  3.48E-12  3.65E-12
   24    8    3  3.47E-13  3.82E-13  4.21E-13  4.67E-13  5.82E-13  8.76E-13  1.31E-12  1.77E-12  2.64E-12  3.38E-12  3.98E-12  4.46E-12
   25    8    4  2.69E-11  2.73E-11  2.75E-11  2.79E-11  2.91E-11  3.19E-11  3.51E-11  3.77E-11  4.16E-11  4.42E-11  4.62E-11  4.78E-11
   26    8    5  3.44E-12  3.53E-12  3.62E-12  3.76E-12  4.12E-12  5.04E-12  6.30E-12  7.58E-12  9.96E-12  1.20E-11  1.38E-11  1.53E-11
   27    8    6  6.75E-12  7.33E-12  7.53E-12  7.61E-12  7.74E-12  8.13E-12  8.69E-12  9.23E-12  1.01E-11  1.08E-11  1.13E-11  1.18E-11
   28    8    7  3.70E-13  4.30E-13  4.67E-13  4.98E-13  5.70E-13  7.72E-13  1.11E-12  1.52E-12  2.45E-12  3.41E-12  4.31E-12  5.14E-12
   29    9    1  1.09E-12  1.19E-12  1.31E-12  1.45E-12  1.77E-12  2.51E-12  3.47E-12  4.38E-12  5.91E-12  7.09E-12  8.01E-12  8.73E-12
   30    9    2  3.21E-14  4.07E-14  5.16E-14  6.53E-14  1.02E-13  2.08E-13  3.87E-13  5.92E-13  1.01E-12  1.38E-12  1.69E-12  1.95E-12
   31    9    3  1.20E-12  1.29E-12  1.38E-12  1.48E-12  1.72E-12  2.26E-12  2.93E-12  3.55E-12  4.53E-12  5.24E-12  5.77E-12  6.17E-12
   32    9    4  3.18E-13  3.52E-13  4.06E-13  4.74E-13  6.42E-13  1.08E-12  1.73E-12  2.44E-12  3.84E-12  5.12E-12  6.23E-12  7.19E-12
   33    9    5  3.01E-11  3.05E-11  3.07E-11  3.12E-11  3.26E-11  3.59E-11  3.97E-11  4.29E-11  4.77E-11  5.11E-11  5.38E-11  5.59E-11
   34    9    6  9.17E-14  1.22E-13  1.46E-13  1.68E-13  2.19E-13  3.64E-13  6.11E-13  9.12E-13  1.60E-12  2.32E-12  3.00E-12  3.63E-12
   35    9    7  7.01E-12  7.65E-12  7.87E-12  7.97E-12  8.12E-12  8.55E-12  9.21E-12  9.85E-12  1.10E-11  1.19E-11  1.26E-11  1.33E-11
   36    9    8  4.71E-13  6.55E-13  8.16E-13  9.76E-13  1.29E-12  1.93E-12  2.74E-12  3.54E-12  5.09E-12  6.54E-12  7.87E-12  9.08E-12
   37   10    1  8.19E-14  9.23E-14  1.06E-13  1.23E-13  1.68E-13  2.90E-13  4.84E-13  7.00E-13  1.13E-12  1.50E-12  1.81E-12  2.06E-12
   38   10    2  1.63E-12  1.74E-12  1.86E-12  1.99E-12  2.32E-12  3.06E-12  4.00E-12  4.89E-12  6.36E-12  7.49E-12  8.36E-12  9.05E-12
   39   10    3  6.91E-13  7.47E-13  8.09E-13  8.86E-13  1.07E-12  1.54E-12  2.23E-12  2.95E-12  4.36E-12  5.62E-12  6.71E-12  7.64E-12
   40   10    4  1.62E-12  1.69E-12  1.77E-12  1.87E-12  2.09E-12  2.61E-12  3.26E-12  3.85E-12  4.79E-12  5.47E-12  5.97E-12  6.35E-12
   41   10    5  2.50E-13  2.67E-13  2.86E-13  3.10E-13  3.71E-13  5.36E-13  8.07E-13  1.13E-12  1.85E-12  2.58E-12  3.27E-12  3.89E-12
   42   10    6  3.33E-11  3.41E-11  3.43E-11  3.47E-11  3.59E-11  3.88E-11  4.22E-11  4.50E-11  4.94E-11  5.26E-11  5.50E-11  5.70E-11
   43   10    7  2.31E-12  2.38E-12  2.44E-12  2.51E-12  2.71E-12  3.20E-12  3.89E-12  4.61E-12  6.06E-12  7.43E-12  8.69E-12  9.85E-12
   44   10    8  7.62E-12  8.10E-12  8.33E-12  8.45E-12  8.61E-12  9.01E-12  9.60E-12  1.02E-11  1.13E-11  1.21E-11  1.29E-11  1.35E-11
   45   10    9  2.51E-13  2.87E-13  3.15E-13  3.37E-13  3.83E-13  4.99E-13  6.94E-13  9.34E-13  1.52E-12  2.18E-12  2.89E-12  3.59E-12
   46   11    1  8.23E-14  9.25E-14  1.06E-13  1.23E-13  1.68E-13  2.90E-13  4.84E-13  7.00E-13  1.13E-12  1.50E-12  1.81E-12  2.06E-12
   47   11    2  5.93E-14  6.96E-14  8.24E-14  9.86E-14  1.41E-13  2.63E-13  4.71E-13  7.17E-13  1.25E-12  1.77E-12  2.24E-12  2.66E-12
   48   11    3  2.28E-12  2.43E-12  2.59E-12  2.78E-12  3.25E-12  4.34E-12  5.76E-12  7.12E-12  9.47E-12  1.13E-11  1.28E-11  1.40E-11
   49   11    4  2.16E-14  2.66E-14  3.29E-14  4.09E-14  6.27E-14  1.32E-13  2.66E-13  4.43E-13  8.77E-13  1.35E-12  1.80E-12  2.22E-12
   50   11    5  1.86E-12  1.93E-12  2.02E-12  2.13E-12  2.40E-12  3.01E-12  3.80E-12  4.53E-12  5.76E-12  6.70E-12  7.44E-12  8.02E-12
   51   11    6  2.23E-13  2.47E-13  2.80E-13  3.19E-13  4.16E-13  6.65E-13  1.05E-12  1.48E-12  2.41E-12  3.33E-12  4.21E-12  5.02E-12
