70513 # >>chng 07 may 13, update fit to one transition 295   257, coefficients were VERY large
# 60815  # magic number for August 15, 2006
# to update magic number search for file name, H2_coll_He_ORNL.dat, search for 
# The H2 - He collision data file H2_coll_He_ORNL.dat does not have the
# any line starting with # is a comment
# fits for collisional deexcitation rate coefficicents of H2(v,J) due to He
# >>refer   H2   collision    Lee, T. G. et al. 2007, ApJ, in preparation
# 
# State notation and fit parameters are different from Le Bourlot et al. The
# first four integers are energy-ordered state index numbers. The first two give
# the initial and final state in H2 and the second two give this for He.
# this index is on the physics scale with 1 being the lowest state.  Cloudy
# uses data on the C scale, with 0 being the lowest state.  The first two
# state numbers have 1 subtracted from them before they are stored by the code.
#
# The character refers to a quality factor for the data (with A being the 
# highest). The first real number is the error of the fit while the 
# last eight real numbers are the fit parameters (a-h).
# The fit equation for de-excitation transitions only is given by:
# k_(vJ,v'J') = 10^(a + b/(d*T/1000+1) + c/(T/1000)^2)
#            + 10^(e + f/(g*T/1000+1)**h)     T in K and the rate coefficient in cm3/s
#
# changes
# 2005 Oct 18 original version with 1492 transitions
# 2007 Apr 02 replaced with addition transitions, total now 3250 transitions
# the 17 - 15 transition was updated to improved value
#
#H2(init) H2(final) He(init) He(final) Quality Error a b c        d         e        f        g          h
19   11   1   1   B   0.0323134     -11.031  -17.8156  6.21118  1.16258  -31.7185  9.35273  15.5257  -0.142846  
19   13   1   1   B   0.0644831     -10.0071  -6.82523  -3.89345  0.274818  -32.4169  13.5186  13.6146  7.9959  
19   14   1   1   B   0.0363477     -9.85956  -4.13397  -2.51732  1.13042  -23.6676  8.07427  79.1536  1.38857  
19   16   1   1   B   0.0724712     -9.09071  -5.65637  -4.26634  0.147761  -28.8896  13.5618  159.801  1.4617  
10   1   1   1   B   0.0223306     -8.74575  -5.67117  -6.01929  0.0886357  -30.7591  9.44353  16.6704  -0.127325  
10   3   1   1   B   0.0292211     -10.2513  -4.23578  -5.28524  0.169404  -35.2835  15.8662  4.49137  6.2139  
10   5   1   1   B   0.0203869     -12.0307  -4.8598  -4.29975  1.58346  -31.3119  10.2402  112.978  0.118715  
10   7   1   1   B   0.0193093     -10.4152  -4.69  -4.36422  0.293576  -29.0085  9.86766  0.919143  49.6093  
10   9   1   1   B   0.0647249     -10.3583  -5.51821  -5.65664  0.379118  -29.0918  9.22884  8.43668  -0.0186601  
22   1   1   1   B   0.0374144     -11.7385  -15.0728  2.12461  0.895511  -38.2029  11.667  68.6858  -0.117973  
