71106 // magic number - today's date
# data file for collisions H + H2* -> H + H2
# original data published in
#>>>refer	H2	H coll	Wrathmall, S.A., Gusdorf, A., & Flower, D.R. 2007, MNRAS,  
# posted on web site http://massey.dur.ac.uk/saw/website_data/
# this file was produced by combining two files,
# h2_levels_in.txt gave the level index and the v, J quantum indices
# h2h_decal1_fit.txt giving the fitting coefficients for the level indices
# below has the upper v,J, lower v,J, and fitting coefficients a, b, and c
# for use in the equaiton q(u,l) = 10.^[ a+b/t + c/t^2]
# where t = T/1e3K + 1
# so fit does not work below 1e3 K
3	8	0	2	-1.101e+001	1.519e+000	-4.901e+000
4	0	0	2	-1.072e+001	1.945e+000	-3.639e+000
4	2	0	2	-1.056e+001	1.087e+000	-3.114e+000
2	12	0	2	-1.137e+001	1.150e+000	-5.731e+000
4	4	0	2	-1.059e+001	6.303e-001	-2.955e+000
0	18	0	2	-1.251e+001	-1.803e-001	-7.012e+000
3	10	0	2	-1.125e+001	8.122e-001	-4.502e+000
1	16	0	2	-1.178e+001	4.163e-002	-6.033e+000
4	6	0	2	-1.079e+001	5.240e-001	-3.274e+000
2	14	0	2	-1.154e+001	6.509e-004	-4.999e+000
5	0	0	2	-1.060e+001	-7.975e-001	-1.185e+000
4	8	0	2	-1.091e+001	-2.272e-001	-3.155e+000
5	2	0	2	-1.055e+001	-1.179e+000	-9.649e-001
3	12	0	2	-1.146e+001	4.690e-002	-4.263e+000
0	20	0	2	-1.345e+001	-1.543e+000	-5.054e+000
5	4	0	2	-1.068e+001	-1.384e+000	-9.213e-001
1	18	0	2	-1.261e+001	-7.840e-001	-4.989e+000
4	10	0	2	-1.149e+001	-8.673e-001	-2.951e+000
2	16	0	2	-1.213e+001	-1.130e+000	-4.045e+000
5	6	0	2	-1.109e+001	-1.301e+000	-1.642e+000
3	14	0	2	-1.200e+001	-6.603e-001	-4.083e+000
6	0	0	2	-1.124e+001	-1.911e+000	1.180e+000
5	8	0	2	-1.154e+001	-1.143e+000	-2.977e+000
6	2	0	2	-1.118e+001	-2.304e+000	6.482e-001
4	12	0	2	-1.206e+001	-1.144e+000	-3.185e+000
0	22	0	2	-1.459e+001	-3.555e+000	-3.101e+000
6	4	0	2	-1.124e+001	-3.655e+000	1.080e+000
0	4	0	4	-8.238e+000	-8.019e-001	-2.069e-002
0	6	0	4	-9.854e+000	-1.483e+000	-3.520e+000
0	8	0	4	-1.045e+001	-6.276e-001	-6.113e+000
1	0	0	4	-1.073e+001	2.628e+000	-8.371e+000
1	2	0	4	-1.052e+001	1.265e+000	-6.677e+000
1	4	0	4	-1.036e+001	-2.208e-001	-4.922e+000
0	10	0	4	-1.092e+001	-9.152e-002	-7.212e+000
1	6	0	4	-1.052e+001	-1.404e-001	-5.116e+000
1	8	0	4	-1.071e+001	-8.257e-002	-5.324e+000
2	0	0	4	-1.071e+001	2.233e+000	-5.467e+000
0	12	0	4	-1.123e+001	-3.663e-002	-7.397e+000
2	2	0	4	-1.053e+001	1.169e+000	-4.443e+000
2	4	0	4	-1.055e+001	1.293e+000	-4.989e+000
1	10	0	4	-1.104e+001	9.924e-001	-6.790e+000
2	6	0	4	-1.070e+001	1.679e+000	-5.558e+000
0	14	0	4	-1.150e+001	4.890e-001	-8.256e+000
2	8	0	4	-1.088e+001	2.014e+000	-6.182e+000
3	0	0	4	-1.057e+001	2.129e+000	-3.776e+000
1	12	0	4	-1.114e+001	9.900e-001	-6.964e+000
3	2	0	4	-1.051e+001	1.746e+000	-3.465e+000
3	4	0	4	-1.049e+001	1.586e+000	-3.822e+000
0	16	0	4	-1.176e+001	1.672e-001	-7.941e+000
2	10	0	4	-1.104e+001	1.896e+000	-6.381e+000
3	6	0	4	-1.061e+001	1.757e+000	-4.368e+000
1	14	0	4	-1.122e+001	5.619e-001	-6.836e+000
3	8	0	4	-1.075e+001	1.479e+000	-4.635e+000
4	0	0	4	-1.031e+001	4.652e-001	-1.698e+000
4	2	0	4	-1.034e+001	7.782e-001	-2.177e+000
2	12	0	4	-1.109e+001	9.830e-001	-5.755e+000
4	4	0	4	-1.037e+001	8.041e-001	-2.784e+000
0	18	0	4	-1.224e+001	-7.645e-001	-6.714e+000
3	10	0	4	-1.099e+001	7.232e-001	-4.338e+000
1	16	0	4	-1.152e+001	-3.788e-001	-5.960e+000
4	6	0	4	-1.062e+001	1.243e+000	-3.717e+000
2	14	0	4	-1.123e+001	-3.302e-001	-4.893e+000
5	0	0	4	-1.045e+001	-4.625e-001	-1.087e+000
4	8	0	4	-1.079e+001	7.083e-001	-3.755e+000
5	2	0	4	-1.040e+001	-7.122e-001	-1.144e+000
3	12	0	4	-1.117e+001	-4.017e-001	-3.706e+000
0	20	0	4	-1.308e+001	-2.451e+000	-4.510e+000
5	4	0	4	-1.042e+001	-1.058e+000	-1.394e+000
1	18	0	4	-1.234e+001	-1.193e+000	-4.960e+000
4	10	0	4	-1.130e+001	-3.843e-001	-3.001e+000
2	16	0	4	-1.184e+001	-1.382e+000	-4.011e+000
5	6	0	4	-1.087e+001	-9.474e-001	-1.910e+000
3	14	0	4	-1.165e+001	-1.428e+000	-3.253e+000
6	0	0	4	-1.106e+001	-1.855e+000	4.270e-001
5	8	0	4	-1.127e+001	-1.255e+000	-2.368e+000
6	2	0	4	-1.112e+001	-1.690e+000	1.099e-001
4	12	0	4	-1.180e+001	-1.101e+000	-2.942e+000
0	22	0	4	-1.432e+001	-3.812e+000	-3.166e+000
6	4	0	4	-1.104e+001	-2.988e+000	5.860e-001
0	6	0	6	-8.200e+000	-1.059e+000	3.358e-001
0	8	0	6	-9.853e+000	-1.876e+000	-3.086e+000
1	0	0	6	-1.090e+001	3.210e+000	-9.882e+000
1	2	0	6	-1.063e+001	1.619e+000	-7.548e+000
1	4	0	6	-1.035e+001	-2.289e-002	-5.306e+000
0	10	0	6	-1.048e+001	-8.562e-001	-6.069e+000
1	6	0	6	-1.032e+001	-5.901e-001	-4.877e+000
1	8	0	6	-1.049e+001	-4.401e-001	-5.209e+000
2	0	0	6	-1.072e+001	2.319e+000	-6.023e+000
0	12	0	6	-1.095e+001	-2.291e-001	-7.293e+000
2	2	0	6	-1.063e+001	1.843e+000	-5.551e+000
2	4	0	6	-1.056e+001	1.573e+000	-5.573e+000
1	10	0	6	-1.077e+001	6.761e-002	-5.907e+000
2	6	0	6	-1.060e+001	1.624e+000	-5.967e+000
0	14	0	6	-1.123e+001	-3.626e-001	-7.377e+000
2	8	0	6	-1.064e+001	1.546e+000	-6.303e+000
3	0	0	6	-1.041e+001	1.652e+000	-3.601e+000
1	12	0	6	-1.094e+001	3.405e-001	-6.529e+000
3	2	0	6	-1.037e+001	1.279e+000	-3.292e+000
3	4	0	6	-1.042e+001	1.457e+000	-3.864e+000
0	16	0	6	-1.149e+001	-7.835e-001	-7.169e+000
2	10	0	6	-1.077e+001	1.270e+000	-6.285e+000
3	6	0	6	-1.044e+001	1.297e+000	-4.039e+000
1	14	0	6	-1.107e+001	1.212e-001	-6.750e+000
3	8	0	6	-1.057e+001	1.277e+000	-4.605e+000
4	0	0	6	-1.018e+001	4.948e-001	-1.651e+000
4	2	0	6	-1.023e+001	5.372e-001	-1.768e+000
2	12	0	6	-1.089e+001	7.327e-001	-6.036e+000
4	4	0	6	-1.030e+001	7.291e-001	-2.307e+000
0	18	0	6	-1.192e+001	-1.686e+000	-6.268e+000
3	10	0	6	-1.078e+001	3.804e-001	-4.038e+000
1	16	0	6	-1.133e+001	-9.067e-001	-5.895e+000
4	6	0	6	-1.052e+001	1.149e+000	-3.096e+000
2	14	0	6	-1.106e+001	-6.286e-001	-4.985e+000
